workload,query_id,access_latency_ms,baseline_latency_ms,prefetch_cost_ms,est_ttft_ms,reward,n_prefetched,n_useful
nocontext,37,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,38,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,39,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,40,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,41,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,42,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,43,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,44,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,45,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,46,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,47,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,48,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,49,26.6,26.6,0.0,26.6,0.0,0,0
nocontext,50,26.6,26.6,0.0,26.6,0.0,0,0
multiturn,1,26.6,26.6,0.0,26.6,0.0,0,0
multiturn,2,26.648589005018586,26.700000000000003,0.0,0.04858900501858443,0.05141099498141699,0,0
multiturn,3,26.67672898937017,26.8,0.0,0.0425429898314178,0.12327101062983203,0,0
multiturn,4,26.70859500616789,26.900000000000002,0.0,0.04170699685346335,0.19140499383211207,0,0
multiturn,5,26.742670993227513,27.0,0.0,0.043145992094650865,0.25732900677248693,0,0
multiturn,6,26.773114007338883,27.1,0.0,0.04210798942949623,0.3268859926611185,0,0
multiturn,7,26.807236997084694,27.200000000000003,0.0,0.04210100451018661,0.3927630029153093,0,0
multiturn,8,27.31150698931888,27.3,0.0,0.04176099901087582,-0.011506989318878169,0,0
multiturn,9,26.876474966085517,27.400000000000002,0.0,0.04483999509830028,0.5235250339144848,0,0
multiturn,10,26.904856017464773,27.5,0.0,0.04134701157454401,0.5951439825352267,0,0
multiturn,11,26.940209982823582,27.6,0.0,0.042817991925403476,0.6597900171764195,0,0
multiturn,12,26.967693006410265,27.700000000000003,0.0,0.0412399967899546,0.7323069935897379,0,0
multiturn,13,27.004271981096828,27.8,0.0,0.0412399967899546,0.7957280189031728,0,0
multiturn,14,27.034997011325324,27.900000000000002,0.0,0.04177501250524074,0.8650029886746786,0,0
multiturn,15,27.164864996704274,28.0,0.0,0.0418519921367988,0.8351350032957257,0,0
multiturn,16,27.358667985792273,28.1,0.0,0.06260699592530727,0.7413320142077282,0,0
multiturn,17,27.37507199603133,28.200000000000003,0.0,0.06035200203768909,0.8249280039686724,0,0
multiturn,18,44.174820027220996,28.44,0.0,1.0761190060293302,-15.734820027220994,0,0
multiturn,19,44.72652098305989,28.680000000000003,0.0,0.986408005701378,-16.04652098305989,0,0
multiturn,20,45.385837979521604,28.92,0.0,1.0059100022772327,-16.465837979521602,0,0
multiturn,21,46.40962099332828,29.160000000000004,0.0,0.9883089951472357,-17.24962099332828,0,0
multiturn,22,47.225219025532716,29.400000000000002,0.0,0.9918110008584335,-17.825219025532714,0,0
multiturn,23,48.26895504342392,29.640000000000004,0.0,0.9982269984902814,-18.628955043423918,0,0
multiturn,24,49.030601035011934,29.880000000000003,0.0,0.9847340115811676,-19.15060103501193,0,0
multiturn,25,50.039861994120294,30.120000000000005,0.0,0.9802189888432622,-19.91986199412029,0,0
multiturn,26,51.13488398168702,30.360000000000003,0.0,0.9904379985528067,-20.774883981687015,0,0
multiturn,27,51.91209497828968,30.6,0.0,0.9862059960141778,-21.31209497828968,0,0
multiturn,28,53.2706760157831,30.840000000000003,0.0,0.9803610009839758,-22.4306760157831,0,0
multiturn,29,54.718748028646225,31.080000000000002,0.0,1.0051370045403019,-23.638748028646223,0,0
multiturn,30,54.96855898203794,31.32,0.0,0.9713120089145377,-23.64855898203794,0,0
multiturn,31,56.19404002467636,31.56,0.0,0.991492997854948,-24.634040024676363,0,0
multiturn,32,56.96735697241966,31.799999999999997,0.0,0.9658249909989536,-25.16735697241966,0,0
multiturn,33,58.1701820072718,32.04,0.0,0.9778009989531711,-26.1301820072718,0,0
multiturn,34,59.12255996630993,32.28,0.0,0.9896099945763126,-26.842559966309928,0,0
multiturn,35,159.60791197980288,38.28,0.0,5.178995008463971,-121.32791197980288,0,0
multiturn,36,164.36565396983642,44.28000000000003,0.0,3.932266990887001,-120.08565396983639,0,0
multiturn,37,167.01503000771626,50.28,0.0,3.924108008504845,-116.73503000771626,0,0
multiturn,38,172.30855001511517,56.28,0.0,3.907984006218612,-116.02855001511517,0,0
multiturn,39,167.25393702185247,62.28000000000003,8.561235008528456,9.678886010078713,-105.06830886185243,3,3
multiturn,40,178.69318403503857,68.28000000000006,0.0,3.9040830015437678,-110.41318403503851,0,0
multiturn,41,183.94169899951666,74.28000000000006,0.0,3.898863011272624,-109.6616989995166,0,0
multiturn,42,186.92458396512083,80.28000000000006,0.0,3.9099129935493693,-106.64458396512077,0,0
multiturn,43,191.3636460402282,86.28000000000006,0.0,3.9405599964084104,-105.08364604022813,0,0
multiturn,44,194.08879803344607,92.27999999999994,0.0,3.909765000571497,-101.80879803344612,0,0
multiturn,45,198.50374198253266,98.27999999999983,0.0,3.893273009452969,-100.22374198253283,0,0
multiturn,46,202.75731999103445,104.27999999999983,0.0,3.9099260029615834,-98.47731999103462,0,0
multiturn,47,215.64329500219318,110.27999999999983,0.0,3.9591509994352236,-105.36329500219335,0,0
multiturn,48,227.56418194589205,116.27999999999983,0.0,4.402022008434869,-111.28418194589221,0,0
multiturn,49,222.43481902373023,122.27999999999983,0.0,4.6490730019286275,-100.1548190237304,0,0
multiturn,50,225.14327698703855,128.27999999999983,0.0,4.061211002408527,-96.86327698703872,0,0
